Album Number,Album Name,Release Date,Taylor's Musical Era,Album Instrumentation Types & Proportions,Songs Included in Album,Song Chord Progressions,Song Modes/Keys,Song Instrumentation Types & Proportions
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",The Way I Loved You,Unknown,Unknown,DistortedGuitar(25%)、Drums(20%)、AcousticGuitar(20%)、Bass(20%)、Fiddle(15%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",White Horse,I-V-vi-IV,G Major,AcousticGuitar(40%)、Piano(25%)、Strings(15%)、Bass(10%)、Drums(10%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",You Belong with Me,Unknown,Unknown,Banjo(20%)、Fiddle(15%)、AcousticGuitar(20%)、ElectricGuitar(15%)、Drums(15%)、Bass(15%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",You're Not Sorry,Unknown,Unknown,Piano(35%)、Strings(25%)、Drums(15%)、Bass(15%)、Guitar(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Back to December,Unknown,Unknown,Strings(30%)、Piano(25%)、AcousticGuitar(20%)、Drums(15%)、Bass(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Better Than Revenge,Unknown,Unknown,DistortedGuitar(30%)、Drums(25%)、ElectricGuitar(20%)、Bass(20%)、DistortedVocals(5%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Dear John,I-vi-IV-V,B Major,ElectricGuitar(25%)、Drums(20%)、AcousticGuitar(20%)、Bass(20%)、BluesGuitar(15%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Enchanted,Unknown,Unknown,AcousticGuitar(30%)、Piano(25%)、Strings(20%)、Drums(15%)、Bass(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Haunted,Unknown,Unknown,Strings(35%)、Drums(20%)、ElectricGuitar(20%)、Piano(15%)、Bass(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Innocent,Unknown,Unknown,AcousticGuitar(35%)、Piano(25%)、Strings(20%)、Drums(10%)、Bass(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Last Kiss,Unknown,Unknown,AcousticGuitar(40%)、Piano(20%)、Strings(15%)、Bass(15%)、SoftDrums(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Long Live,Unknown,Unknown,ElectricGuitar(25%)、Drums(20%)、AcousticGuitar(20%)、Bass(20%)、Strings(15%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Mean,I-V-vi-IV,G Major,Banjo(30%)、Fiddle(25%)、AcousticGuitar(20%)、Bass(15%)、Drums(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Mine,Unknown,Unknown,AcousticGuitar(30%)、Drums(20%)、ElectricGuitar(15%)、Bass(15%)、Fiddle(10%)、Piano(10%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Never Grow Up,Unknown,Unknown,AcousticGuitar(45%)、Piano(25%)、Strings(15%)、Bass(15%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Sparks Fly,Unknown,Unknown,ElectricGuitar(25%)、Drums(20%)、AcousticGuitar(20%)、Bass(20%)、Fiddle(15%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",Speak Now,I-V-vi-IV,G Major,AcousticGuitar(35%)、Drums(20%)、Piano(15%)、Bass(15%)、ElectricGuitar(15%)
3,Speak Now,2010/10/25,Country Era,"Acoustic Guitar (dominant), Piano, Fiddle, Banjo, Bass, Drums, Electric Guitar",The Story of Us,I-V-vi-IV,C Major,ElectricGuitar(30%)、Drums(25%)、Synth(15%)、Bass(15%)、Mandolin(15%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",22,Unknown,Unknown,Synth(25%)、Drums(25%)、ElectricGuitar(20%)、Bass(20%)、VocalEffects(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",All Too Well,I-V-vi-IV,C Major,AcousticGuitar(30%)、ElectricGuitar(20%)、Drums(15%)、Bass(15%)、Piano(10%)、Strings(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Begin Again,Unknown,Unknown,AcousticGuitar(35%)、Fiddle(20%)、Piano(15%)、Bass(15%)、Drums(15%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Everything Has Changed,Unknown,Unknown,AcousticGuitar(40%)、Piano(20%)、Drums(15%)、Bass(15%)、Strings(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Holy Ground,Unknown,Unknown,Drums(25%)、AcousticGuitar(25%)、ElectricGuitar(20%)、Bass(20%)、Synth(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",I Almost Do,Unknown,Unknown,AcousticGuitar(35%)、Piano(25%)、Strings(20%)、Bass(10%)、Drums(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",I Knew You Were Trouble,i-v-VI-VII,C Minor,Synth(30%)、Drums(25%)、ElectricGuitar(20%)、Bass(20%)、DubstepBass(5%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Red,i-VI-III-VII,C# Minor,AcousticGuitar(25%)、Banjo(15%)、Fiddle(15%)、ElectricGuitar(15%)、Bass(15%)、Drums(15%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Sad Beautiful Tragic,Unknown,Unknown,AcousticGuitar(40%)、Piano(20%)、Strings(20%)、Bass(10%)、SoftDrums(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Starlight,Unknown,Unknown,Synth(25%)、Drums(25%)、ElectricGuitar(20%)、Bass(20%)、Piano(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",State of Grace,Unknown,Unknown,ElectricGuitar(25%)、Drums(25%)、AcousticGuitar(20%)、Bass(20%)、Synth(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Stay Stay Stay,Unknown,Unknown,AcousticGuitar(30%)、Banjo(20%)、Fiddle(15%)、Drums(15%)、Bass(10%)、Mandolin(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",The Last Time,Unknown,Unknown,Strings(30%)、AcousticGuitar(25%)、Drums(15%)、Bass(15%)、ElectricGuitar(15%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",The Lucky One,Unknown,Unknown,AcousticGuitar(30%)、Piano(20%)、Drums(15%)、Bass(15%)、Synth(10%)、Strings(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",Treacherous,I-V-vi-IV,D Major,AcousticGuitar(35%)、Drums(20%)、Bass(20%)、ElectricGuitar(15%)、Piano(10%)
4,Red,2012/10/22,Transition Era,"Acoustic & Electric Guitar, Piano, Bass, Drums, Synth (a little), Strings",We Are Never Ever Getting Back Together,I-V-vi-IV,G Major,Synth(25%)、Drums(25%)、ElectricGuitar(20%)、Bass(20%)、VocalEffects(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",All You Had to Do Was Stay,Unknown,Unknown,Keyboard(35%)、Drums(25%)、Synth(20%)、Bass(15%)、Guitar(5%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Bad Blood,Unknown,Unknown,Keyboard(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Percussion(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Blank Space,Unknown,Unknown,Keyboard(30%)、Bass(25%)、ElectricGuitar(20%)、Drums(15%)、Percussion(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Clean,Unknown,Unknown,Vibraphone(25%)、Keyboard(20%)、Drums(15%)、Percussion(15%)、Mbira(15%)、Vocals(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",How You Get the Girl,Unknown,Unknown,Keyboard(30%)、Drums(25%)、Guitar(20%)、Bass(15%)、Synth(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",I Know Places,Unknown,Unknown,Synth(30%)、DrumMachine(25%)、ElectricGuitar(20%)、Bass(15%)、Piano(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",I Wish You Would,Unknown,Unknown,Synth(30%)、Drums(25%)、ElectricGuitar(20%)、Bass(15%)、AcousticGuitar(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Out of the Woods,Unknown,Unknown,Synth(30%)、Drums(25%)、ElectricGuitar(20%)、Bass(15%)、AcousticGuitar(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Shake It Off,Unknown,Unknown,Drums(25%)、Saxophone(20%)、Keyboard(20%)、Bass(20%)、HandClaps(10%)、VocalShouts(5%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Style,Unknown,Unknown,Keyboard(30%)、FunkGuitar(25%)、Synth(20%)、Drums(15%)、Bass(10%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",This Love,Unknown,Unknown,AcousticGuitar(30%)、Keyboard(20%)、Drums(15%)、Bass(15%)、ElectricGuitar(15%)、Piano(5%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Welcome to New York,Unknown,Unknown,Synth(35%)、DrumMachine(25%)、Piano(20%)、Bass(15%)、ProgrammedDrums(5%)
5,1989,2014/10/27,Pop Era,"Synth (dominant), Electric Guitar, Bass, Drums, Piano, Percussion",Wildest Dreams,Unknown,Unknown,Strings(25%)、Keyboard(20%)、Drums(20%)、ElectricGuitar(15%)、Bass(15%)、Heartbeat(5%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",...Ready for It?,I-V-vi-IV,D Major,DrumMachine(30%)、Synth(25%)、Bass(25%)、ElectricGuitar(15%)、ProgrammedDrums(5%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Call It What You Want,Unknown,Unknown,AcousticGuitar(30%)、Synth(20%)、Drums(20%)、Bass(15%)、Keyboard(15%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Dancing with Our Hands Tied,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、AcousticGuitar(10%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Delicate,I-vi-IV-V,B Major,DrumMachine(30%)、Synth(25%)、AcousticGuitar(20%)、Bass(15%)、VocalEffects(10%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Don't Blame Me,Unknown,Unknown,Synth(35%)、Bass(25%)、Drums(20%)、Keyboard(15%)、GospelHarmonies(5%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Dress,Unknown,Unknown,Synth(35%)、DrumMachine(25%)、Bass(20%)、Keyboard(15%)、VocalEffects(5%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",End Game,Unknown,Unknown,Drums(25%)、Synth(25%)、Bass(20%)、ElectricGuitar(15%)、Keyboard(15%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Getaway Car,Unknown,Unknown,Synth(25%)、Drums(25%)、ElectricGuitar(20%)、Bass(20%)、Keyboard(10%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Gorgeous,I-V-vi-IV,G Major,Synth(30%)、DrumMachine(25%)、Bass(20%)、Keyboard(15%)、Samples(10%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",I Did Something Bad,Unknown,Unknown,Synth(30%)、DrumMachine(25%)、Bass(20%)、ElectricGuitar(15%)、VocalEffects(10%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",King of My Heart,Unknown,Unknown,DrumMachine(30%)、Synth(25%)、Bass(20%)、ProgrammedDrums(15%)、VocalEffects(10%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",Look What You Made Me Do,I-vi-IV-V,A Major,Drums(25%)、Synth(25%)、Bass(20%)、Keyboard(15%)、Strings(15%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",New Year's Day,Unknown,Unknown,Piano(40%)、AcousticGuitar(30%)、Strings(15%)、SoftDrums(15%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",So It Goes...,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、Keyboard(10%)
6,Reputation,2017/11/10,Pop Era,"Electronic Beats (dominant), Synth, Bass, Electric Guitar, a little Acoustic Elements",This Is Why We Can't Have Nice Things,Unknown,Unknown,Drums(25%)、Synth(25%)、Piano(20%)、Bass(15%)、Strings(15%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Afterglow,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、Strings(10%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Cornelia Street,Unknown,Unknown,Synth(30%)、Piano(25%)、Drums(15%)、Bass(15%)、Strings(15%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Cruel Summer,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、ElectricGuitar(15%)、DistortedVocals(10%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Daylight,Unknown,Unknown,Synth(35%)、Piano(25%)、Drums(15%)、Bass(15%)、Strings(10%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Death by a Thousand Cuts,Unknown,Unknown,Guitar(30%)、Synth(20%)、Drums(20%)、Bass(15%)、ChurchBells(10%)、VocalHarmonies(5%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",False God,Unknown,Unknown,Saxophone(25%)、Drums(20%)、Bass(20%)、Synth(15%)、VocalSamples(15%)、Keyboard(5%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",I Forgot That You Existed,Unknown,Unknown,Piano(25%)、FingerSnaps(20%)、Synth(20%)、Drums(20%)、Bass(15%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",I Think He Knows,Unknown,Unknown,Drums(25%)、Bass(25%)、Guitar(20%)、Synth(15%)、Keyboard(15%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",It's Nice to Have a Friend,Unknown,Unknown,SteelDrums(25%)、Harp(20%)、TubularBells(15%)、Trumpet(15%)、ChurchBells(15%)、AcousticGuitar(10%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",London Boy,I-V-vi-IV,C Major,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(20%)、Samples(5%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Lover,I-vi-IV-V,D Major,AcousticGuitar(25%)、Percussion(20%)、Piano(15%)、Strings(15%)、Bass(15%)、Pizzicato(10%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Me!,Unknown,Unknown,Brass(25%)、Drums(25%)、Piano(20%)、Bass(15%)、Vocals(15%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Miss Americana & the Heartbreak Prince,Unknown,Unknown,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(15%)、Samples(10%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Paper Rings,Unknown,Unknown,ElectricGuitar(25%)、Drums(25%)、Bass(20%)、Keyboard(15%)、Piano(15%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",Soon You'll Get Better,Unknown,Unknown,SlideGuitar(30%)、Banjo(20%)、Fiddle(15%)、AcousticGuitar(15%)、Bass(15%)、SoftDrums(5%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",The Archer,I-vi-IV-V,G Major,Synth(35%)、DrumMachine(25%)、Bass(20%)、Keyboard(15%)、VocalEffects(5%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",The Man,Unknown,Unknown,Drums(25%)、Synth(25%)、Bass(20%)、Keyboard(20%)、ElectricGuitar(10%)
7,Lover,2019/8/23,Pop Era,"Synth, Electric & Acoustic Guitar, Piano, Bass, Drums, Horns (some tracks)",You Need to Calm Down,I-V-vi-IV,G Major,Synth(30%)、Drums(25%)、Bass(20%)、Keyboard(20%)、VocalEcho(5%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",august,Unknown,Unknown,ElectricGuitar(25%)、Drums(20%)、AcousticGuitar(20%)、Bass(20%)、Synth(15%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",betty,Unknown,Unknown,Harmonica(25%)、AcousticGuitar(25%)、Drums(15%)、Bass(15%)、ElectricGuitar(15%)、Keyboard(15%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",cardigan,I-vi-IV-V,G Major,Piano(35%)、Drums(20%)、Bass(15%)、Synth(15%)、Strings(15%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",epiphany,Unknown,Unknown,Piano(35%)、Strings(30%)、Synth(20%)、Drums(10%)、Bass(5%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",exile,I-vi-IV-V,Bb Major,Piano(35%)、Strings(25%)、AcousticGuitar(15%)、Drums(15%)、Bass(10%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",hoax,Unknown,Unknown,Piano(40%)、Strings(30%)、AcousticGuitar(15%)、Drums(10%)、Bass(5%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",illicit affairs,Unknown,Unknown,AcousticGuitar(35%)、Piano(20%)、Strings(20%)、SoftDrums(15%)、Bass(10%)
8,Folklore,2020/7/24,Alternative Era,"Acoustic Guitar, Piano, Bass, Drums (Soft), Strings, Synth (ambient)",invisible string,Unknown,Unknown,AcousticGuitar(30%)、Piano(25%)、Strings(20%)、Drums(15%)、Bass(10%)
